start,end,hour_count
2023-01-19T13:31:55.000Z,2023-01-19T14:00:00.000Z,8
2023-01-19T14:00:00.000Z,2023-01-19T15:00:00.000Z,22
2023-01-19T15:00:00.000Z,2023-01-19T16:00:00.000Z,33
2023-01-19T16:00:00.000Z,2023-01-19T17:00:00.000Z,23
2023-01-19T17:00:00.000Z,2023-01-19T18:00:00.000Z,19
2023-01-19T18:00:00.000Z,2023-01-19T19:00:00.000Z,24
2023-01-19T19:00:00.000Z,2023-01-19T20:00:00.000Z,38
2023-01-19T20:00:00.000Z,2023-01-19T21:00:00.000Z,35
2023-01-19T21:00:00.000Z,2023-01-19T22:00:00.000Z,30
2023-01-19T22:00:00.000Z,2023-01-19T23:00:00.000Z,38
2023-01-19T23:00:00.000Z,2023-01-20T00:00:00.000Z,32
2023-01-20T00:00:00.000Z,2023-01-20T01:00:00.000Z,33
2023-01-20T01:00:00.000Z,2023-01-20T02:00:00.000Z,29
2023-01-20T02:00:00.000Z,2023-01-20T03:00:00.000Z,28
2023-01-20T03:00:00.000Z,2023-01-20T04:00:00.000Z,22
2023-01-20T04:00:00.000Z,2023-01-20T05:00:00.000Z,4
2023-01-20T05:00:00.000Z,2023-01-20T06:00:00.000Z,20
2023-01-20T06:00:00.000Z,2023-01-20T07:00:00.000Z,13
2023-01-20T07:00:00.000Z,2023-01-20T08:00:00.000Z,7
2023-01-20T08:00:00.000Z,2023-01-20T09:00:00.000Z,11
2023-01-20T09:00:00.000Z,2023-01-20T10:00:00.000Z,6
2023-01-20T10:00:00.000Z,2023-01-20T11:00:00.000Z,6
2023-01-20T11:00:00.000Z,2023-01-20T12:00:00.000Z,14
2023-01-20T12:00:00.000Z,2023-01-20T13:00:00.000Z,23
2023-01-20T13:00:00.000Z,2023-01-20T14:00:00.000Z,28
2023-01-20T14:00:00.000Z,2023-01-20T15:00:00.000Z,23
2023-01-20T15:00:00.000Z,2023-01-20T16:00:00.000Z,25
2023-01-20T16:00:00.000Z,2023-01-20T17:00:00.000Z,22
2023-01-20T17:00:00.000Z,2023-01-20T18:00:00.000Z,26
2023-01-20T18:00:00.000Z,2023-01-20T19:00:00.000Z,23
